species,type,english_name
Leccinum scabrum,Fungus,Brown Birch Bolete
Schoenus ferrugineus,Angiosperm,Brown Bog-rush
Serica brunnea,Beetle,Brown Chafer
Lepus europaeus,Mammal,Brown hare
Aeshna grandis,Dragonfly,Brown Hawker
Plecotus auritus,Mammal,Brown long-eared bat
Panaeolina foenisecii,Fungus,Brown Mottlegill
Rattus norvegicus,Mammal,Brown rat
Rusina ferruginea,Moth,Brown Rustic
Carex disticha,Angiosperm,Brown Sedge
Lanius cristatus,Bird,Brown Shrike
Crangon crangon,Shrimp,Brown Shrimp
Petrophora chlorosata,Moth,Brown Silver-line
Arion (Kobeltia) distinctus,Slug,Brown Soil Slug
Salmo trutta,Fish,Brown/Sea Trout
Bonbus humilis,Bumblebee,Brown-banded Carder Bee
Molothrus ater,Bird,Brown-headed Cowbird
Mythimna conigera,Moth,Brown-line Bright-eye
Cepaea (Cepaea) nemoralis,Snail,Brown-lipped Snail
Tetrodontium brownianum,Moss,Browns Four-tooth Moss
Anchoscelis litura,Moth,Brown-spot Pinion
Ulota bruchii,Moss,Bruchs Pincushion
Uria lomvia,Bird,Brünnichs Guillemot
Hemigrapsus takanoi,Crab,Brush-clawed shore crab
Brychius elevatus,Beetle,Brychius elevatus
Henosepilachna argus,Ladybird,Bryony ladybird
Smittoidea prolifica,Sea snail,Bryozoan species
Watersipora subatra,Bryozoa,Bryozoan species
Bryum algovicum var. rutheanum,Moss,Bryum algovicum var. rutheanum
Plantago coronopus,Angiosperm,Bucks-horn Plantain
Rhamnus cathartica,Angiosperm,Buckthorn
Spilosoma lutea,Moth,Buff Ermine
Eilema depressa,Moth,Buff Footman
Anthus rubescens,Bird,Buff-bellied Pipit
Calidris subruficollis,Bird,Buff-breasted Sandpiper
Bucephala albeola,Bird,Bufflehead
Bombus terrestris,Bumble bee,Buff-tailed Bumblebee
Bombus terrstris,Bumblebee,Buff-tailed Bumblebee
Phalera bucephala,Moth,Buff-tip
Ajuga reptans,Angiosperm,Bugle
Anchusa arvensis,Angiosperm,Bugloss
